"link";"titulo";"preco";"cidade";"bairro";"cep";"endereco_completo";"lat";"lon"
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/churrasqueira-de-aluminio-268260945";"Churrasqueira de Aluminio";350;"Rio de Janeiro";" Inhoaíba";23059260;"Rua Osvaldo Bittencourt Sampaio, 23059260, Inhoaíba, Rio de Janeiro, RJ";-22,9086089688849;-43,5841321621421
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/aluga-se-casa-em-parada-de-lucas-268257531";"Aluga-se casa em Parada de Lucas";700;"Rio de Janeiro";" Parada De Lucas";21250440;"Rua Amadeu Amaral, 21250440, Parada de Lucas, Rio de Janeiro, RJ";-22,8205320163207;-43,304706934383
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/alugo-quarto-268256018";"Alugo quarto";1200;"Rio de Janeiro";" Barra da Tijuca";22630011;"Avenida Lúcio Costa, 22630011, Barra da Tijuca, Rio de Janeiro, RJ";-23,0104469048474;-43,3415239648275
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/aluga-se-casa-em-parada-de-lucas-268252861";"Aluga-se Casa em Parada de Lucas";700;"Rio de Janeiro";" Parada De Lucas";21250440;"Rua Amadeu Amaral, 21250440, Parada de Lucas, Rio de Janeiro, RJ";-22,8210430910846;-43,3061863710245
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-independente-taxas-incluidas-350-pilares-268243427";"Quarto independente taxas incluídas 350 pilares";350;"Rio de Janeiro";" Engenho De Dentro";20771030;"Rua Ibiraci, 20771030, Engenho de Dentro, Rio de Janeiro, RJ";-22,8859047582556;-43,28709895956
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/centro-lapa-aluguel-quarto-individual-268243209";"Centro Lapa Aluguel quarto Individual";780;"Rio de Janeiro";" Centro";20231030;"Avenida Henrique Valadares, 20231030, Centro, Rio de Janeiro, RJ";-22,9123833559474;-43,1892686793146
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/suite-e-quarto-no-parque-olimpico-254189020";"Suite e quarto no parque olímpico";1200;"Rio de Janeiro";" Jacarepaguá";22775170;"Rua Queiros Júnior, 22775170, Jacarepaguá, Rio de Janeiro, RJ";-22,9697013568113;-43,3941092924444
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quitinete-na-vila-da-penha-268237579";"Quitinete na Vila da Penha";500;"Rio de Janeiro";" Braz De Pina";21211120;"Rua Almirante Ingran, 21211120, Braz de Pina, Rio de Janeiro, RJ";-22,8325412750695;-43,303686080803
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/pensionato-republica-vaga-41845871";"Pensionato Republica vaga";350;"Rio de Janeiro";" Engenho De Dentro";20771020;"Rua Fernão Cardim, 20771020, Engenho de Dentro, Rio de Janeiro, RJ";-22,8861204991172;-43,2879624759818
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-ou-qui-tete-copacabana-rio-de-janeiro-268237220";"Quarto ou qui tete copacabana rio de janeiro";500;"Rio de Janeiro";" Copacabana";22081010;"Rua Souza Lima, 22081010, Copacabana, Rio de Janeiro, RJ";-22,9815842993288;-43,1922883222078
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-espetacular-268227454";"Quarto Espetacular";700;"Niterói";" Icaraí";24220071;"Rua Lopes Trovão, 24220071, Icaraí, Niterói, RJ";-22,9035153976388;-43,1082141856925
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/alugo-quarto-em-copacabana-268226330";"Alugo quarto em Copacabana";1500;"Rio de Janeiro";" Copacabana";22041011;"Rua Santa Clara, 22041011, Copacabana, Rio de Janeiro, RJ";-22,9689459855887;-43,1894538282492
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/alugo-suites-e-quartos-independentes-ou-casa-para-cooworking-no-recreio-268221233";"Alugo suites e quartos independentes ou casa para COOWORKING NO RECREIO";NA;"Rio de Janeiro";" Recreio Dos Bandeirantes";22790850;"Rua Alberto Cavalcanti, 22790850, Recreio dos Bandeirantes, Rio de Janeiro, RJ";-23,015427438466;-43,4669844787395
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-241025475";"Quarto";600;"Niterói";" Fonseca";24130001;"Alameda São Boaventura, 24130001, Fonseca, Niterói, RJ";-22,8806888271809;-43,0937752644359
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/alugo-quarto-268200960";"Alugo Quarto";290;"Rio de Janeiro";" Madureira";21351050;"Estrada do Portela, 21351050, Madureira, Rio de Janeiro, RJ";-22,8691420073317;-43,3428780256712
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vaga-para-mocas-estudante-puc-rio-268197135";"Vaga para moças estudante Puc Rio";400;"Rio de Janeiro";" Gávea";22451000;"Avenida Padre Leonel Franca, 22451000, Gávea, Rio de Janeiro, RJ";-22,980955582119;-43,2330325361577
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-para-estudante-268152793";"Quarto para estudante";400;"Rio de Janeiro";" Benfica";20930120;"Rua Inhandui, 20930120, Benfica, Rio de Janeiro, RJ";-22,8888014703681;-43,2337622413811
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/procuro-kit-net-268147880";"Procuro kit net";NA;"Rio de Janeiro";" Freguesia";21911300;"Rua Budapeste, 21911300, Freguesia (Ilha do Governador), Rio de Janeiro, RJ";-22,7880511964246;-43,1750560999558
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/kitnet-na-garadenia-azul-268138147";"Kitnet na garadenia azul";500;"Rio de Janeiro";" Gardênia Azul";22765431;"Avenida Canal do Anil, 22765431, Gardênia Azul, Rio de Janeiro, RJ";-22,9644656840321;-43,3468155205158
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quartos-em-predio-de-luxo-em-sao-cristovao-268105850";"Quartos em Prédio de Luxo em São cristóvão";1200;"Rio de Janeiro";" São Cristóvão";20941150;"Rua Almirante Baltazar, 20941150, São Cristóvão, Rio de Janeiro, RJ";-22,90841730873;-43,2220443173109
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-individual-em-republica-masculina-268100240";"Quarto individual em República masculina";550;"Rio de Janeiro";" Jardim Guanabara";21940240;"Rua Henrique Lacombe, 21940240, Jardim Guanabara, Rio de Janeiro, RJ";-22,8166788777937;-43,1971414583179
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-copacabana-268100424";"Quarto Copacabana";1100;"Rio de Janeiro";" Copacabana";22070011;"Avenida Nossa Senhora de Copacabana, 22070011, Copacabana, Rio de Janeiro, RJ";-22,9824617644232;-43,1906344838764
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-em-vila-isabel-268093723";"Quarto em Vila Isabel";600;"Rio de Janeiro";" Irajá";21371360;"Rua Urucara, 21371360, Irajá, Rio de Janeiro, RJ";-22,8493603274071;-43,3231709392707
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-para-mocas-em-copacana-268085337";"Quarto para moças em Copacana";1150;"Rio de Janeiro";" Leme";22010010;"Rua Gustavo Sampaio, 22010010, Leme, Rio de Janeiro, RJ";-22,9627201400031;-43,1695625849726
